game,game_name,week,split,policy_id,replicates,draws,cost_mean,raw_prize_mean,robust_prize_mean,raw_pnl_mean,robust_pnl_mean
lotto649,大樂透,2007-W01,train,current_ensemble,8,2,500.0,722.375,722.375,222.375,222.375
lotto649,大樂透,2007-W01,train,random_5,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W01,train,trained_best_5,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W01,train,trained_blend,8,2,500.0,722.375,722.375,222.375,222.375
lotto649,大樂透,2007-W01,train,trained_family_ensemble,8,2,500.0,722.375,722.375,222.375,222.375
lotto649,大樂透,2007-W02,train,current_ensemble,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W02,train,random_5,8,2,500.0,275.0,275.0,-225.0,-225.0
lotto649,大樂透,2007-W02,train,trained_best_5,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W02,train,trained_blend,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W02,train,trained_family_ensemble,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W03,train,current_ensemble,8,2,500.0,150.0,150.0,-350.0,-350.0
lotto649,大樂透,2007-W03,train,random_5,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W03,train,trained_best_5,8,2,500.0,150.0,150.0,-350.0,-350.0
lotto649,大樂透,2007-W03,train,trained_blend,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W03,train,trained_family_ensemble,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W04,train,current_ensemble,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W04,train,random_5,8,2,500.0,150.0,150.0,-350.0,-350.0
lotto649,大樂透,2007-W04,train,trained_best_5,8,2,500.0,150.0,150.0,-350.0,-350.0
lotto649,大樂透,2007-W04,train,trained_blend,8,2,500.0,225.0,225.0,-275.0,-275.0
lotto649,大樂透,2007-W04,train,trained_family_ensemble,8,2,500.0,275.0,275.0,-225.0,-225.0
lotto649,大樂透,2007-W05,train,current_ensemble,8,2,500.0,676.75,676.75,176.75,176.75
lotto649,大樂透,2007-W05,train,random_5,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W05,train,trained_best_5,8,2,500.0,576.75,576.75,76.75,76.75
lotto649,大樂透,2007-W05,train,trained_blend,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W05,train,trained_family_ensemble,8,2,500.0,200.0,200.0,-300.0,-300.0
lotto649,大樂透,2007-W06,train,current_ensemble,8,2,500.0,200.0,200.0,-300.0,-300.0
lotto649,大樂透,2007-W06,train,random_5,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W06,train,trained_best_5,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W06,train,trained_blend,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W06,train,trained_family_ensemble,8,2,500.0,0.0,0.0,-500.0,-500.0
lotto649,大樂透,2007-W07,train,current_ensemble,8,2,500.0,1106.0,1106.0,606.0,606.0
lotto649,大樂透,2007-W07,train,random_5,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W07,train,trained_best_5,8,2,500.0,710.0,710.0,210.0,210.0
lotto649,大樂透,2007-W07,train,trained_blend,8,2,500.0,0.0,0.0,-500.0,-500.0
lotto649,大樂透,2007-W07,train,trained_family_ensemble,8,2,500.0,560.0,560.0,60.0,60.0
lotto649,大樂透,2007-W08,train,current_ensemble,8,2,500.0,250.0,250.0,-250.0,-250.0
lotto649,大樂透,2007-W08,train,random_5,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W08,train,trained_best_5,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W08,train,trained_blend,8,2,500.0,200.0,200.0,-300.0,-300.0
lotto649,大樂透,2007-W08,train,trained_family_ensemble,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W09,train,current_ensemble,8,2,500.0,100.0,100.0,-400.0,-400.0
lotto649,大樂透,2007-W09,train,random_5,8,2,500.0,225.0,225.0,-275.0,-275.0
lotto649,大樂透,2007-W09,train,trained_best_5,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W09,train,trained_blend,8,2,500.0,50.0,50.0,-450.0,-450.0
lotto649,大樂透,2007-W09,train,trained_family_ensemble,8,2,500.0,250.0,250.0,-250.0,-250.0
lotto649,大樂透,2007-W10,train,current_ensemble,8,2,500.0,150.0,150.0,-350.0,-350.0
lotto649,大樂透,2007-W10,train,random_5,8,2,500.0,150.0,150.0,-350.0,-350.0
lotto649,大樂透,2007-W10,train,trained_best_5,8,2,500.0,0.0,0.0,-500.0,-500.0
