stage,policy_id,game,game_name,split,weeks,draws,replicates,cost_per_replicate,raw_roi_mean,raw_roi_median,robust_roi_mean,fixed_roi_mean,delta_robust_roi_mean,delta_robust_roi_median,delta_ci_low,delta_ci_high,delta_fixed_roi_mean,delta_fixed_ci_low,delta_fixed_ci_high,positive_replicate_rate,active_week_rate,active_week_win_rate,median_max_drawdown,hits_per_replicate,top2_hits_all_replicates
coarse,candidate__antipop_m035_d055,super,威力彩,holdout,242,484,8,242000,-0.7989669421487604,-0.8041322314049587,-0.7989669421487604,-0.7989669421487604,-0.013016528925619835,0.00371900826446281,-0.013016528925619834,-0.013016528925619834,-0.013016528925619835,-0.013016528925619834,-0.013016528925619834,0.625,0.9793388429752066,0.510548523206751,-194600.0,279.875,0
coarse,candidate__antipop_m035_d055,super,威力彩,train,482,963,8,481500,-0.7895604880581516,-0.7868930425752856,-0.7895604880581516,-0.7895604880581516,-0.024036604361370714,0.029011422637590864,-0.02358635892116183,-0.02358635892116183,-0.024036604361370714,-0.02358635892116183,-0.02358635892116183,0.625,0.9771784232365145,0.4734607218683652,-379191.5,573.125,0
coarse,candidate__antipop_m035_d055,super,威力彩,validation,241,482,8,241000,-0.8010892116182573,-0.8018672199170125,-0.8010892116182573,-0.8010892116182573,0.01058091286307054,0.008298755186721992,0.010580912863070538,0.010580912863070538,0.01058091286307054,0.010580912863070538,0.010580912863070538,0.75,0.9585062240663901,0.4935064935064935,-194000.0,285.375,0
coarse,candidate__antipop_m035_d075,super,威力彩,holdout,242,484,8,242000,-0.7953512396694215,-0.8045454545454546,-0.7953512396694215,-0.7953512396694215,-0.009400826446280992,0.018801652892561985,-0.00940082644628099,-0.00940082644628099,-0.009400826446280992,-0.00940082644628099,-0.00940082644628099,0.625,0.9710743801652892,0.4723404255319149,-194700.0,279.625,0
coarse,candidate__antipop_m035_d075,super,威力彩,train,482,963,8,481500,-0.8080685358255452,-0.8130134994807892,-0.8080685358255452,-0.8080685358255452,-0.04254465212876427,-0.008878504672897195,-0.042110217842323654,-0.042110217842323654,-0.04254465212876427,-0.042110217842323654,-0.042110217842323654,0.25,0.9730290456431535,0.47761194029850745,-391466.0,574.75,0
coarse,candidate__antipop_m035_d075,super,威力彩,validation,241,482,8,241000,-0.7830394190871369,-0.8114107883817427,-0.7830394190871369,-0.7830394190871369,0.02863070539419087,0.008506224066390042,0.02863070539419087,0.02863070539419087,0.02863070539419087,0.02863070539419087,0.02863070539419087,0.75,0.970954356846473,0.5085470085470085,-195550.0,288.0,0
coarse,candidate__antipop_m035_d090,super,威力彩,holdout,242,484,8,242000,-0.7997417355371901,-0.8076446280991736,-0.7997417355371901,-0.7997417355371901,-0.013791322314049587,0.0014462809917355369,-0.013791322314049587,-0.013791322314049587,-0.013791322314049587,-0.013791322314049587,-0.013791322314049587,0.5,0.9752066115702479,0.5084745762711864,-195450.0,282.75,0
coarse,candidate__antipop_m035_d090,super,威力彩,train,482,963,8,481500,-0.8126715991692627,-0.8165347871235722,-0.8126715991692627,-0.8126715991692627,-0.047147715472481824,-0.01647455867082035,-0.04696913900414938,-0.04696913900414938,-0.047147715472481824,-0.04696913900414938,-0.04696913900414938,0.25,0.9688796680497925,0.49036402569593146,-393161.5,571.625,0
coarse,candidate__antipop_m035_d090,super,威力彩,validation,241,482,8,241000,-0.7982883817427385,-0.8151452282157676,-0.7982883817427385,-0.7982883817427385,0.013381742738589211,0.012863070539419087,0.013381742738589213,0.013381742738589213,0.013381742738589211,0.013381742738589213,0.013381742738589213,0.625,0.9875518672199171,0.5168067226890757,-196450.0,286.875,0
coarse,candidate__antipop_m060_d055,super,威力彩,holdout,242,484,8,242000,-0.790650826446281,-0.8018595041322314,-0.790650826446281,-0.790650826446281,-0.004700413223140498,-0.009297520661157025,-0.004700413223140494,-0.004700413223140494,-0.004700413223140498,-0.004700413223140494,-0.004700413223140494,0.375,0.9752066115702479,0.4915254237288136,-194050.0,279.875,0
coarse,candidate__antipop_m060_d055,super,威力彩,train,482,963,8,481500,-0.7637380581516096,-0.7950404984423676,-0.7637380581516096,-0.7637380581516096,0.001785825545171346,-0.00546521287642783,0.0018617738589211579,0.0018617738589211579,0.001785825545171346,0.0018617738589211579,0.0018617738589211579,0.375,0.975103734439834,0.48723404255319147,-382812.0,566.125,0
coarse,candidate__antipop_m060_d055,super,威力彩,validation,241,482,8,241000,-0.7991182572614108,-0.8159751037344398,-0.7991182572614108,-0.7991182572614108,0.012551867219917011,-0.003112033195020747,0.012551867219917011,0.012551867219917011,0.012551867219917011,0.012551867219917011,0.012551867219917011,0.5,0.979253112033195,0.5,-196650.0,284.5,0
coarse,candidate__antipop_m060_d075,super,威力彩,holdout,242,484,8,242000,-0.8050619834710744,-0.8161157024793388,-0.8050619834710744,-0.8050619834710744,-0.019111570247933883,-0.022520661157024793,-0.019111570247933883,-0.019111570247933883,-0.019111570247933883,-0.019111570247933883,-0.019111570247933883,0.375,0.9793388429752066,0.5063291139240507,-197500.0,286.875,0
