game,game_name,candidate,inner_validation_draws,inner_validation_union_main_hits_delta_vs_consensus,inner_validation_best_main_hits_delta_vs_consensus,inner_validation_any_three_plus_delta_vs_consensus,inner_validation_any_prize_delta_vs_consensus,holdout_draws,holdout_observed_union_main_hits,holdout_exact_null_mean_union_main_hits,holdout_union_main_hits_delta_vs_consensus,holdout_best_main_hits_delta_vs_consensus,holdout_any_three_plus_delta_vs_consensus,holdout_any_prize_delta_vs_consensus,holdout_union_main_hits_ci_low,holdout_union_main_hits_ci_high,holdout_first_half_union_delta_vs_consensus,holdout_second_half_union_delta_vs_consensus,holdout_raw_exact_null_one_sided_p_value,holm_adjusted_exact_null_one_sided_p_value
super,威力彩,lag1_all_probability,393,-0.015267175572518887,-0.058524173027989956,-0.010178117048346036,0.025445292620865145,561,2611,4.7368421052631575,-0.07308377896613191,-0.026737967914438502,-0.0106951871657754,-0.0338680926916221,-0.1836007130124777,0.035650623885918005,0.014285714285714285,-0.1601423487544484,0.9829949480767751,1.0
super,威力彩,lag1_all_lift,393,0.04580152671755755,-0.010178117048346369,-0.0203562340966921,-0.01526717557251911,561,2618,4.7368421052631575,-0.06060606060606061,0.0017825311942959,0.0,-0.008912655971479501,-0.16399286987522282,0.0374331550802139,-0.03214285714285714,-0.08896797153024912,0.9645031619776264,1.0
super,威力彩,lag1_520_lift,393,0.07124681933842236,-0.04834605597964403,-0.027989821882951654,-0.01526717557251911,561,2646,4.7368421052631575,-0.0106951871657754,-0.023172905525846704,-0.0053475935828877,0.012477718360071301,-0.12299465240641712,0.11051693404634581,0.08571428571428572,-0.10676156583629894,0.706023744169774,1.0
super,威力彩,lag1_260_lift,393,0.0050890585241729624,-0.05089058524173051,0.0,-0.01526717557251911,561,2628,4.7368421052631575,-0.0427807486631016,0.026737967914438502,0.012477718360071301,-0.016042780748663103,-0.14616755793226383,0.06417112299465241,0.039285714285714285,-0.12455516014234876,0.9123394936140015,1.0
super,威力彩,lag2_all_lift,393,-0.08142493638676829,-0.04580152671755755,-0.027989821882951654,0.010178117048346036,561,2663,4.7368421052631575,0.0196078431372549,0.023172905525846704,0.016042780748663103,0.0142602495543672,-0.0713458110516934,0.11234402852049886,0.025,0.014234875444839857,0.40893266003198353,1.0
super,威力彩,lag12_all_lift,393,-0.027989821882951738,-0.0712468193384228,-0.04071246819338423,0.010178117048346036,561,2640,4.7368421052631575,-0.0213903743315508,0.026737967914438502,0.0142602495543672,-0.0071301247771836,-0.11586452762923351,0.0659536541889483,0.010714285714285714,-0.05338078291814947,0.7920121560197243,1.0
super,威力彩,consensus_lag1_all_mix,393,0.02035623409669185,-0.10432569974554706,-0.05852417302798982,-0.020356234096692072,561,2646,4.7368421052631575,-0.0106951871657754,-0.03208556149732621,-0.0053475935828877,0.008912655971479501,-0.0784313725490196,0.058823529411764705,0.03214285714285714,-0.05338078291814947,0.706023744169774,1.0
super,威力彩,consensus_lag12_all_mix,393,0.025445292620864812,-0.07633587786259577,-0.03562340966921118,-0.0025445292620864812,561,2651,4.7368421052631575,-0.0017825311942959,-0.024955436720142603,-0.0142602495543672,-0.0017825311942959,-0.0677361853832442,0.06417112299465241,0.007142857142857143,-0.010676156583629894,0.6236598311094517,1.0
lotto649,大樂透,lag1_all_probability,440,-0.1295454545454544,-0.1045454545454545,-0.02500000000000001,-0.054545454545454536,628,2315,3.673469387755102,-0.05573248407643312,-0.08439490445859872,-0.03184713375796178,-0.022292993630573247,-0.16560509554140126,0.05736464968152845,-0.03503184713375796,-0.07643312101910828,0.39506667229756426,1.0
lotto649,大樂透,lag1_all_lift,440,-0.05227272727272725,-0.09090909090909083,-0.004545454545454547,-0.027272727272727254,628,2339,3.673469387755102,-0.01751592356687898,-0.03662420382165605,-0.022292993630573247,-0.012738853503184714,-0.12265127388535031,0.09713375796178345,0.012738853503184714,-0.04777070063694268,0.1323833689250975,1.0
lotto649,大樂透,lag1_520_lift,440,-0.05681818181818166,-0.05227272727272725,0.004545454545454547,-0.022727272727272707,628,2300,3.673469387755102,-0.07961783439490445,-0.06847133757961783,-0.01751592356687898,-0.01592356687898089,-0.21656050955414013,0.05736464968152845,-0.1178343949044586,-0.041401273885350316,0.6040125551522149,1.0
lotto649,大樂透,lag1_260_lift,440,0.02499999999999991,-0.06136363636363629,0.006818181818181807,-0.0159090909090909,628,2318,3.673469387755102,-0.050955414012738856,-0.044585987261146494,-0.028662420382165606,-0.020700636942675158,-0.18638535031847134,0.07961783439490445,-0.050955414012738856,-0.050955414012738856,0.3548775596846291,1.0
lotto649,大樂透,lag2_all_lift,440,-0.06363636363636349,-0.040909090909090784,0.004545454545454547,-0.004545454545454547,628,2327,3.673469387755102,-0.03662420382165605,-0.02388535031847134,-0.01592356687898089,-0.011146496815286623,-0.15764331210191082,0.08598726114649681,-0.17197452229299362,0.09872611464968153,0.24494884158722863,1.0
lotto649,大樂透,lag12_all_lift,440,-0.09545454545454524,-0.06590909090909092,0.0159090909090909,-0.011363636363636354,628,2337,3.673469387755102,-0.020700636942675158,-0.020700636942675158,-0.02388535031847134,-0.022292993630573247,-0.13061305732484077,0.07961783439490445,-0.028662420382165606,-0.012738853503184714,0.14815468086938383,1.0
lotto649,大樂透,consensus_lag1_all_mix,440,-0.09772727272727266,-0.11818181818181817,-0.02500000000000001,-0.05681818181818181,628,2361,3.673469387755102,0.01751592356687898,-0.020700636942675158,-0.01910828025477707,-0.011146496815286623,-0.06050955414012739,0.09713375796178345,0.01592356687898089,0.01910828025477707,0.02905282405930153,0.4648451849488245
lotto649,大樂透,consensus_lag12_all_mix,440,-0.15681818181818175,-0.09090909090909083,-0.0068181818181818205,-0.02954545454545454,628,2340,3.673469387755102,-0.01592356687898089,-0.03503184713375796,-0.014331210191082803,-0.007961783439490446,-0.10195063694267516,0.0732484076433121,0.0031847133757961785,-0.03503184713375796,0.12494700837232349,1.0
